beta,HR,low,high,Z,pval
0.01347071,1.013561849,0.777370629,1.321515868,0.099514646,0.92072966
-0.04940414,0.951796393,0.712632491,1.271225189,-0.33460697,0.737921587
-0.018228209,0.981936919,0.765104435,1.260220264,-0.14318447,0.886144495
-0.008563017,0.991473541,0.796322052,1.234450032,-0.07656971,0.938965856
-0.111655946,0.89435191,0.641902085,1.246086216,-0.659830202,0.5093628
-0.018583962,0.981587656,0.756979189,1.272841234,-0.140180566,0.888517326
-0.006988023,0.993036337,0.766793855,1.28603165,-0.052973552,0.95775298
0.089229755,1.093331826,0.888642335,1.345169406,0.843682453,0.398846875
-0.072077677,0.930458618,0.707712433,1.22331218,-0.516261422,0.605671837
-0.023627068,0.976649866,0.745186823,1.280007819,-0.171199103,0.864067212
0.048755687,1.0499638,0.829032136,1.329772313,0.404480688,0.685859276
0.016088987,1.016219112,0.884895769,1.167031552,0.227887779,0.819733484
0.077986699,1.081108279,0.883360762,1.323123193,0.756657641,0.449254998
0.072551962,1.075248677,0.871472897,1.326673176,0.676744516,0.498568067
0.113170568,1.119822922,0.959706868,1.306652499,1.437544894,0.150563226
0.124827955,1.132953517,0.931933888,1.377333402,1.252593668,0.21035362
0.111936769,1.118442138,0.93567156,1.336914435,1.229586239,0.218852086
0.05084162,1.05215624,0.826242169,1.339840539,0.412263302,0.680146444
0.04050807,1.041339714,0.811125488,1.336893509,0.317780085,0.750651758
0.125605525,1.13383481,0.898195779,1.431293051,1.056700033,0.29064851
