"","beta","HR","95% Lower CI for HR","95% Upper CI for HR","Z","p.value"
"miR.122",0.0641409589385621,1.06624268460626,0.84110872332966,1.35163675151992,0.530046616942312,0.596079610010707
"miR.126",-0.0712036921228435,0.931272179999526,0.697990071650985,1.24252179001584,-0.483989128924792,0.62839358429415
"miR.150",-0.0104491704611991,0.989605232467089,0.789591425451378,1.24028514565796,-0.0907035486561402,0.927728150837654
"miR.155",-0.0133168450594971,0.986771431830645,0.790330798809816,1.23203835677852,-0.117576953212362,0.906402866930749
"miR.191",-0.134474732651297,0.874174966681231,0.624096212749553,1.22446164030608,-0.782149561623235,0.434126682655762
"miR.195",-0.0402410237054627,0.960557894026582,0.743453939021643,1.24106070241686,-0.307840226214241,0.758203910848358
"miR.197",-0.0337256534407152,0.966836716582436,0.742757041496192,1.25851817526889,-0.250705104753188,0.802042113682587
"miR.21",0.0581171412505678,1.05983913932116,0.861885207819462,1.30325824256668,0.55094231204605,0.581673220876692
"miR.223",-0.095007376189187,0.909366226786164,0.690579366109696,1.19746835049217,-0.676597150504828,0.498661587544659
"miR.24",-0.051711812022803,0.949602491434485,0.723602594622218,1.24618802978363,-0.372895028015577,0.709226572640867
"miR.28.3p",0.0225998021562197,1.02285711241587,0.805103561970718,1.29950570564956,0.185036460310701,0.853200438137194
"U6...14",-0.0965695343801752,0.907946761889404,0.625912271842554,1.31706528136713,-0.50883135341206,0.610870440461438
"miR.27b",0.00338788713230183,1.00339363250831,0.870197040483665,1.15697794283307,0.0466224809279093,0.962814114321293
"miR.92a",0.0776206938045405,1.08071265991005,0.880395479057148,1.326608190379,0.742098698643452,0.458027538248966
"miR.146a",0.0536668835830548,1.05513306146151,0.855748679768571,1.30097282497733,0.502207949933807,0.615521251335347
"miR.148a",0.10833604773309,1.11442218151654,0.955862011129326,1.29928460823416,1.38348869818115,0.166515070356028
"miR.320",0.108377659353147,1.11446855539378,0.915670716842739,1.35642664782826,1.08113042708348,0.279639100352093
"miR.335",0.0887956223737784,1.09285727792407,0.911200855817414,1.31072860861199,0.957360511401043,0.33838532260309
"miR.126.",0.0209508726114937,1.02117188289739,0.802329214630633,1.29970590052646,0.170253507138194,0.864810773293827
"miR.223.",0.00264304907327857,1.00264654500678,0.779872482054828,1.28905701553315,0.0206165644855003,0.98355152672581
"miR.378",0.135112983922756,1.14466610591244,0.923126124821367,1.41937321325219,1.2311187288291,0.21827846171863
"U6...24",-0.247806580577232,0.780510894645807,0.382911707195526,1.59096012269409,-0.682013458112973,0.495230441013326
"Triglycerides",0.291307975047985,1.33817664551105,1.15682662693207,1.54795601423891,3.92064403922768,8.83126309883517e-05
"AGE",2.32916321667483,0.108019406944674,NA,NA,NA,NA
"SEX",2.32916321667483,0.108019406944674,NA,NA,NA,NA
"Total_cholesterol",0.165454785130531,1.17992961114998,0.973375219402203,1.43031572975894,1.6851210978281,0.0919652099199436
"HDL_C",-0.251263733689908,0.777817207903549,0.608713132015563,0.993899387232874,-2.00888862248021,0.0445489467936579
"LDL_C",0.144556211220179,1.15552664670099,0.955643843761671,1.39721700710189,1.49176351285519,0.135761152314988
"CVD0010",24.0811841578294,28729323355.8986,0,Inf,0.00711469832128022,0.994323339945799
"CVD0010W",-6.03442845210929,0.00239486491625355,2.64641335354874e-05,0.216722680884723,-2.62519346428367,0.0086599746266344
