"","ADM","CD40LG","GDF15","PGF","SELE","EGF","SRC","IL1RN","IL6","CSTB","KLK6","LGALS3","F2R","KLK11","TEK","F3","TNFRSF1A","PDGFB","IL27","OLR1","TNFRSF10B","IL6R","TNFRSF1B","MMP3","HSPB1","PRL","MPO","GH1","RETN","FAS","PAPPA","PTX3","REN","CHI3L1","IL1RL1","HAVCR1","XPNPEP2","SELPLG","MB","THBD","IL16","PLAUR","CTSD","AGER","MMP7","CXCL16","DKK1","SIRT2","GAL","AGRP","PLAT","HBEGF","ESM1","VEGFD","MMP12","SPON1","CTSL","FABP4","NPPB","LEP","MUC16","IKBKG","FST","PECAM1","NT-pro-BNP","RNASE3","CXCL8","VEGFA","BDNF","CCL7","GDNF","CDCP1","CD244","IL7","TNFRSF11B","TGFB1","PLAU","IL17C","CCL2","IL17A","CXCL11","AXIN1","TNFSF10","CXCL9","CST5","OSM","CXCL1","CCL4","CD6","KITLG","IL18","SLAMF1","TGFA","CCL13","CCL11","TNFSF14","FGF23","IL10RA","FGF5","MMP1","LIFR","FGF21","CCL19","IL15RA","IL10RB","IL18R1","CD274","NGF","CXCL5","TNFSF11","HGF","IL12B","MMP10","IL10","CCL23","CD5","CCL3","FLT3LG","CXCL6","CXCL10","EIF4EBP1","CCL28","DNER","S100A12","CD40","FGF19","CCL8","CASP8","CCL25","CX3CL1","TNFRSF9","NTF3","TNFSF12","CCL20","SULT1A1","STAMBP","ADA","LTA","CSF1","RNY4-3p","RNY4-5p","RNY5-5p"
"miR-130a-3p",0,0,0,0,0.00212519787390127,0,0,0,0,0,0,0,0,-0.0242757493468556,-0.0642577744602181,-0.0350090732423011,0,0,0,0,-0.0275647675062101,0,-0.116385632102549,0,0,0,0,0,0,0,-0.0178983539748896,0,0,0,0,0,0,0.0206092585681011,0,0,0,0,0,0,0,0,0.111890065764921,0,0,0,-0.0646543802525074,0,0,0,-0.0556254102263814,0,0,0,0,-0.0191641034220927,0,0,0,0.0461933136853672,0,0,0,0,0.0306185736992909,0,0,-0.0844390677082675,0,0,0,0,0,0,0,0,0,0,-0.105792332145019,0,0,0,0,0,0,-0.00469929601935632,0,0,-0.137997194373305,0,0,0,0,0,0.0292553834255751,0.0641016203137678,-0.134282312968947,0,0,-0.0516108317359405,-0.121411950940144,0,-0.0771489427420508,0,0,-0.0301592000102963,-0.15520997155764,0,-0.0983978756172179,0,0,0,0,0,0.0548796025791182,0,0,0,-0.0694324397369413,-0.0652452349390622,0,0,0,0.148347350679932,0,0,0,0,0,0,0,0.315662861481839,0,0,-0.199153335649909,0,0,0
"miR-140-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210814532631501,0,0,-0.101962651703326,0,0,0.0556456158865402,0,0.0199864866604036,-0.0716662591215053,0,0.271168067335045,0,0,0,0,-0.0564184502129968,0.025589190952837,0,-0.0265139444794794,0,0,0,0,0.116588460894971,0,0,0,0,0.0345999407987032,0.00216445090796775,0,0,0,0.467689733722868,0,0,0,0.0345933771766134,0,0,0,-0.0746659631150189,0,0,0,-0.0163707030797547,0.015863163057382,0.399623943063802,0,0,0,0,0,-0.122189246813642,0.0561162873143428,0,0,-0.0484729926255782,0,0,0,0.0599473623248101,-0.0122565990141699,0,0,0,0.0103546929897944,0.357522092124602,0,-0.0685978301437572,0,0,0,0,0,-0.0659078604736971,0.00604007670428961,0,0,0,0,0.047892305118339,-0.0572800864853743,0,0,0.0803751560468989,-0.104285058536357,0,0,0,0,0,-0.0391595989755607,-0.0176727455245109,0,0,-0.135976113563534,0,0,0.0380078950184912,0,-0.00487870168981101,0,0,0,0,0,0,0,0,0,0,0,0.153982474679936,0,0,-0.0489772332402422,0,0,0,0.151218818335974,0.474636534064348,0,0,-0.104190679656634,0,0,0
"miR-143-3p",0,0,0,0,0,0,0.191357495068061,0,-0.0468085312665621,0.0240321210767669,0,0.0331671378603333,0.149808955714088,0,0,0,-0.0410527499815319,0.27380786400794,0.0308255980553149,0,0.00863167710139494,0.00795322171287187,-0.00785034874280053,0,0,0,0,0,0,0.0694856720432025,0.062914916843666,0,0,-0.0462668394429212,0.0272019641787568,0,0,0,-0.0308443880306657,0,0.00183472526439169,0.0478576811231362,0.000761723292988657,0,0,0,0,0.290000704409579,0,0,-0.0796144125460068,0.0711667742442808,0.0979871474852625,0.117342752573519,0,0.0204837758000734,0,-0.054081667410401,0,-0.100244775893509,0,0,0.0955695897890987,0.0458484407452123,0,0,0,-0.137057941162668,0.00297717625596837,-0.0452289316522893,0,-0.0632389919272606,-0.00742448553433588,0,0,0,-0.0377928179566272,0.00797762323186052,0,0,0,0,0,-0.0592448780800869,0,0,0,-0.0388531645793351,0,-0.079468597189346,-0.0613642843408895,-0.0789265387365983,-0.0941456271137117,0,0,0,-0.0800301085760282,-0.0295541374859388,0.0427941875750125,0,-0.154953977001242,0,0,-0.0669014530702337,-0.0800317387565381,0,0,0,0,0.00544767716866133,-0.173990667302381,-0.0225203002517943,0,0,0,0,0,0,0,0,0,0,-0.0532999529564226,0,-0.08102880863577,-0.0442797352003421,0,0.060986882421333,0,-0.0566086187986756,0,0,0,0,0,0.155998493713209,0,0,-0.102681295162972,0,0,0
"miR-145-5p",0,0,-0.100027524308563,0,0,0.326974114108508,0.369879346060866,-0.0782447968074548,0,0,-0.0396416966505456,0,0.0754986292757057,0,0,0,-0.119982733815912,0,0,-0.00307100242021726,-0.0602079663997518,0,0,-0.0787438893975814,0,0,0.013584378822344,0.0802995962643816,-0.0144572117120394,-0.0596661459241372,0.0175064402024497,0.0164848773517504,0,0,0,0,0.0234349748621051,0.0279617974952193,-0.102954899258285,-0.0476696485811596,-0.00589370263039041,-0.0456199970622434,-0.00594097786112099,0.0426769209015893,0,0,0,0,0,0,-0.14519518921761,0.0187076067304828,0,0.0160381434750915,-0.06429542918016,-0.043704964122304,0,0,-0.0174058876592374,-0.0532989187957394,0,0,0,0.0170587221856909,0,0,-0.0632406166817902,-0.134284477800032,0.0634337457714597,0,-0.00232860049131491,-0.0751931849537441,0,0,-0.153437724364298,0,0,0,0,0.0203863465866467,0,0,0,0,0,0,0.257067689893705,0,0.0131444017203722,-0.0234202865822771,-0.073135210935044,-0.187628923111559,-0.0791971653394138,0,-0.101987344309195,-0.0032154020814143,0,-0.0525031491858771,0.0289342259620897,0,0,0,0,0,0,-0.0321066597844455,-0.120255059736673,-0.0290722077241035,0,0,-0.195273643792891,0,-0.0915674029819603,0.0160546129167731,0,0,0,-0.0665244863387453,0,0,0.0208035896914944,-0.120952347940207,0,0,-0.11098988670418,0,-0.0693347456987262,0.159588692952795,-0.0814169562095801,0,0,0.0386502450061772,0.0143707263534615,-0.0845463019272507,0.233661855624739,0.392884108246722,0,0,-0.140851359124274,0,0,0
"miR-150-5p",0,0,0,-0.097562691589093,0,0.195313454513506,0.250151006181644,0,-0.0297283124235531,0,0,0,-0.0301396326705992,-0.026383697098073,0.0278146522670833,0,0,0,0,0,0,0.0562336724566097,-0.0942216798202203,0,0,0,0,0,0,0,-0.0635423494724446,0,0,0,-0.00357833171116087,0,0.0583571728325393,0,0,-0.0195487798014131,0,0.0203044971013677,0.075536209223183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357372430664139,0,0,0.128452378827835,0,0,0,0.0532749808839902,0,0,0,0.0201006387561484,-0.0220477381904796,0,-0.0040618576558843,0,0.0999902017579865,0.153706789924318,0,0,0,0,0,0,0,0,0,-0.0131146294788777,0,-0.00569104547070686,0,0,0,-0.0942036620371832,0.0256936160077535,0,0.021860718761969,0,0,0.193417297346272,0,0.0608655984489935,0,0,0.0453103485909064,0,0,0.0600419485082062,0,0,-0.108889184799992,0,0,0.0241716281349226,0,0,0.0474879263693858,0.036134016824623,0,0,0,0,0.0899035894169377,0,0,0,0,0,0,0,0,0.134803546765611,0,0,0.0307877580661325,0,0,0,0.141953972409848,0,0,0,0,0,0,0
"miR-191-5p",0,0,0,0,0,0.423979026614153,0,0,0,0,0,0,0,0,0,0,0,0.424461388405745,0,0,-0.0290889385226379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394471045937453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129684280393769,0,-0.0966162431858461,0,0,0,0.00688845585197001,0,0,0,0,0,0,0,-0.087016625780599,0.0172723176295278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042399189645918,0,0,0,0,0,0.0750028828452859,0,0,0,0,-0.0758751151422135,0,0,0,0,0,-0.0351161443454363,0,0,-0.00181773691153921,-0.180948648288757,0,0,0,0,0,0,0,0.0953300308739002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR-192-5p",0,0,0,0,0,-0.00326701128119542,0,0,0,0,0,0,0,0,0.0357144756977796,0,0,0,0,0,0,0,0,0,0,0,0.0745060036989707,0,0,0,0.0259333945589356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00374878361310615,0,0,0,0,0,0,0,0.00514741397227284,0,0,0.00755962086453172,0,0,0,0,0.0397543214380484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102749017000906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044704537428442,0,0,0,0.0204185343837994,0,0,0,0,0,0,0
"miR-197-3p",0,0,0,0,0,0,0,0.0319215914129648,0,-0.036000302698755,0,-0.0470119995003068,0,0,-0.0407533938639325,0,-0.117537720657783,0.416818244841423,0,0,-0.0604216058271913,-0.0311141373360039,0,0,0,0,0.0493682107277537,0,0,-0.077722795893181,0.0194533512865251,-0.063700351935646,0.00863540861586361,0,0,-0.0498419926226616,0.0488672690519476,-0.0204869915038431,-0.167617891212401,-0.0846094499668473,0,0,0,-0.0286274258799885,0,0,0,0,0,0,0,0,-0.00257782995880277,-0.0388411922898989,0,0,-0.00210627883703276,0,0,0.0458430743760356,0,0,0,0,0,0,0,0,-0.00486732556793655,0,-0.0652207684777417,0.0493736160626648,0.111310002649472,0,0,0.172116931636756,0,0,0,0,0,0,0.0169851066721395,0,0,0,0,0,0.0793351300780976,0,0.0448996289366282,0,0,0,0,0.128287387414596,0.037788610564667,0.018493367270239,0,0,0.0725409672906883,0,0,0.0273441350741964,-0.0153794648066366,0,0,0.107050083945709,0,0,0.0238902933226439,0,0,0.0839172017266237,0,0,0,0,0,-0.0155248940554357,0.109505135582959,0.00728742104779071,0,0,0.0207914920371695,0,0,0.191923185161774,-0.0123331724888702,-0.0322461689045325,0.00179817474709897,0,0,0,0,0.468110583199601,0,0,0.0337347809792614,0,0,0
"miR-221-3p",0,0,0,0,0.03622141285183,0,0.47911481190719,0,0,0,-0.0393131362530733,0,0.142193794159665,-0.0261154940090865,-0.00908319498247569,-0.0479781469993958,0,0,0,-0.00903797891919036,0,-0.000689309017901968,0,0,0,0,0.0227963604072023,0,0,0,0,-0.0104565920380678,0,0,-0.0295353985148201,-0.03572944149153,0,0,0,0,0.0595045108814567,-0.00956203909859604,0,-0.0141210537830918,0,-0.0190345040604371,0,0,0,0,-0.0214941892639738,0,0,0,0,-0.0468546093357879,0,0,0,0.0357308142752351,0,0.513189405541764,0,0.018376468771316,0,0,0,0,-0.00906529150084334,0,-0.0219023712644058,-0.065253986435182,0,0,-0.209673663573616,0,0,0,0,0,-0.00676027335555537,0,-0.096144065069949,0,0,0,0,0,0,0,0,-0.101454182811555,0,0,0,0,0,0,0.0217447314166042,0.199176501374932,-0.191172485982594,0,0,0,0,0,-0.0539090444996426,0,0,0,-0.151292776154749,0,-0.0922881301398966,0.0383572895917311,0,-0.076417291926746,-0.0538798728459101,0,0,0,0,-0.235891944762619,0,0,-0.118600532811677,0,0,0.167071782530586,-0.126297087553573,0,0,0.0229625672581449,0,0,0,0.51103503601413,0,0,-0.191830049377317,0,0,0
"miR-222-3p",0,0,0,0,0.0375784030959013,0.36190390309796,0,0,0,0,-0.0333815466327681,0,0,0,-0.00669772474867767,0,0,0,-0.0209245662347432,0,0,0,0,0,0,0,0,0,0,-0.0274776339253233,0,0.0382891870198372,0,0,0,-0.0159961877803052,0,0,0,0,0.0927342689310272,-0.0235322542340074,0,0.00656568013870604,0.00815278942737083,0,0,0.372508912796676,0,0,0,0,0.0150528281398647,0,0,0,0.00223549208109856,0,0,0,0,0,0,0.0442254206551746,0,0,0,0,0.0678801282083947,-0.038170999105623,0,-0.0243330159915546,0,0,-0.0445780544089,0,0,0,0,0,0.043499818792582,0,0.00142186047852486,-0.029657785672808,0,0,0,0,0.0848236041880878,0,0.0182800704787033,0,0,0,0,0.0493455598005071,0,0,-0.00159852875023154,0.10099353487625,-0.0509772845519303,0,0,-0.0170953279848985,0,0,-0.0392187935429757,0,0,0,-0.0431971200375594,0.0149907954868371,-0.0284812244404878,0,0,0,0,0,0,0,0,-0.0764002048192936,0.0424136038723476,0,0,-0.041636007835848,0.000367562773956101,0.180580982028047,0,0,-0.0190568943245013,0.0510533646126866,0,0,0.183447778926756,0.49385679397403,0,0,-0.062591375899688,0,0,0
