"SUID","interaction","MI","name","pvalue","selected","shared interaction","shared name"
"2238","interacts with","0.7939803280035738","miR-26a-5p (interacts with) miR-221-3p","0.0","true","interacts with","miR-26a-5p (interacts with) miR-221-3p"
"2241","interacts with","0.521688705117859","miR-486-5p (interacts with) miR-93-5p","0.0","true","interacts with","miR-486-5p (interacts with) miR-93-5p"
"2243","interacts with","0.37748383294881643","miR-191-5p (interacts with) SIRT2","0.0","true","interacts with","miR-191-5p (interacts with) SIRT2"
"2245","interacts with","0.13931878892767507","miR-27b-3p (interacts with) KLK11","0.019120768117974585","true","interacts with","miR-27b-3p (interacts with) KLK11"
"2248","interacts with","0.770733206713077","miR-222-3p (interacts with) miR-140-5p","0.0","true","interacts with","miR-222-3p (interacts with) miR-140-5p"
"2249","interacts with","0.3220830436664201","miR-191-5p (interacts with) HSPB1","2.7745805653012212E-11","true","interacts with","miR-191-5p (interacts with) HSPB1"
"2252","interacts with","0.3176535108175771","miR-29a-3p (interacts with) miR-150-5p","4.339388370233621E-5","true","interacts with","miR-29a-3p (interacts with) miR-150-5p"
"2255","interacts with","0.48800003485133","miR-126-3p (interacts with) miR-126-5p","0.0","true","interacts with","miR-126-3p (interacts with) miR-126-5p"
"2258","interacts with","1.0053600020614935","miR-19b-3p (interacts with) miR-20b-5p","0.0","true","interacts with","miR-19b-3p (interacts with) miR-20b-5p"
"2260","interacts with","0.7112210924434242","miR-26a-5p (interacts with) miR-130a-3p","4.339388370233621E-5","true","interacts with","miR-26a-5p (interacts with) miR-130a-3p"
"2263","interacts with","0.6733735350231587","miR-21-5p (interacts with) miR-24-3p","0.0","true","interacts with","miR-21-5p (interacts with) miR-24-3p"
"2264","interacts with","0.6526967020677865","miR-126-3p (interacts with) miR-21-5p","0.0","true","interacts with","miR-126-3p (interacts with) miR-21-5p"
"2266","interacts with","0.1819944290136507","miR-30b-5p (interacts with) DKK1","0.004503347265718105","true","interacts with","miR-30b-5p (interacts with) DKK1"
"2268","interacts with","0.16512617139486604","miR-375 (interacts with) RNY5-5p","2.1401936991427561E-4","true","interacts with","miR-375 (interacts with) RNY5-5p"
"2270","interacts with","0.6515657719438306","miR-223-3p (interacts with) miR-222-3p","0.0","true","interacts with","miR-223-3p (interacts with) miR-222-3p"
"2271","interacts with","0.7388286884534744","miR-221-3p (interacts with) miR-19b-3p","0.0010065161030077263","true","interacts with","miR-221-3p (interacts with) miR-19b-3p"
"2272","interacts with","0.6778903076525044","miR-24-3p (interacts with) miR-21-5p","0.0","true","interacts with","miR-24-3p (interacts with) miR-21-5p"
"2273","interacts with","0.26116574169858686","miR-191-5p (interacts with) CXCL1","0.019120768117974585","true","interacts with","miR-191-5p (interacts with) CXCL1"
"2275","interacts with","0.5928296657880817","miR-486-5p (interacts with) miR-16-5p","0.0","true","interacts with","miR-486-5p (interacts with) miR-16-5p"
"2277","interacts with","0.47308720640049234","miR-320a (interacts with) miR-486-5p","1.8852919225764708E-10","true","interacts with","miR-320a (interacts with) miR-486-5p"
"2278","interacts with","0.4708153099296542","miR-191-5p (interacts with) IKBKG","1.559482886825947E-6","true","interacts with","miR-191-5p (interacts with) IKBKG"
"2279","interacts with","0.3505900273256765","miR-150-5p (interacts with) miR-126-3p","0.0","true","interacts with","miR-150-5p (interacts with) miR-126-3p"
"2280","interacts with","0.8502286758875857","miR-93-5p (interacts with) miR-24-3p","7.114309141798003E-13","true","interacts with","miR-93-5p (interacts with) miR-24-3p"
"2281","interacts with","0.46320529204572586","miR-126-3p (interacts with) AXIN1","0.019120768117974585","true","interacts with","miR-126-3p (interacts with) AXIN1"
